Geneid	Chr	Start	End	Strand	Length	HFe_d5_rep1	HFe_d5_rep2	HFe_d5_rep3	LFe_d5_rep1	LFe_d5_rep2	MFe_d5_rep1	MFe_d5_rep2
Tery_0881	CP000393.1	1399969	1400772	+	804	160	327	285	100	194	369	177
Tery_0882	CP000393.1	1401369	1402571	-	1203	660	1160	972	570	890	1405	698
Tery_0883	CP000393.1	1403156	1404088	+	933	138	233	199	107	213	165	133
Tery_0884	CP000393.1	1404361	1404582	+	222	66	86	98	66	119	68	71
Tery_0886	CP000393.1	1406490	1407422	+	933	376	642	549	307	511	710	375
Tery_0887	CP000393.1	1407784	1407951	+	168	241	466	345	311	439	526	256
Tery_0888	CP000393.1	1408255	1408719	+	465	136	163	129	112	170	194	115
Tery_0889	CP000393.1	1409261	1410328	+	1068	459	779	511	458	609	778	364
Tery_0890	CP000393.1	1410906	1411763	+	858	274	604	401	257	601	399	246
Tery_0891	CP000393.1	1412227	1412706	+	480	4220	11528	8774	5893	10658	12954	5402
Tery_0892	CP000393.1	1412737	1413084	+	348	1247	3507	3685	1421	4472	2871	3463
Tery_0893	CP000393.1	1414773	1416365	+	1593	30	68	56	37	49	110	44
Tery_0894	CP000393.1	1416502	1418502	+	2001	98	158	142	119	165	175	118
Tery_0895	CP000393.1	1419001	1419309	-	309	181	348	286	169	221	411	235
Tery_0896	CP000393.1	1419416	1419658	-	243	13	13	13	9	19	11	8
Tery_0897	CP000393.1	1419747	1419899	-	153	3	9	6	5	11	5	4
Tery_0898	CP000393.1	1419957	1420268	-	312	4	16	4	5	5	17	7
Tery_0899	CP000393.1	1420322	1420510	-	189	11	20	16	5	13	8	14
Tery_0900	CP000393.1	1420682	1420915	-	234	16	31	31	22	23	46	14
Tery_0901	CP000393.1	1421097	1421984	+	888	73	145	127	72	118	147	70
Tery_0902	CP000393.1	1422258	1423010	+	753	29	40	49	20	59	53	59
Tery_0904	CP000393.1	1424443	1429596	-	5154	57	65	67	52	57	98	41
Tery_0905	CP000393.1	1430592	1431749	+	1158	282	360	449	216	489	286	334
Tery_0907	CP000393.1	1432961	1434688	+	1728	139	239	285	123	167	345	269
Tery_0908	CP000393.1	1435221	1435445	+	225	15	15	16	4	13	11	8
Tery_0909	CP000393.1	1435656	1437428	+	1773	45	79	76	42	73	83	61
Tery_0910	CP000393.1	1439019	1441514	-	2496	84	148	141	64	129	141	90
Tery_0911	CP000393.1	1441709	1442476	+	768	17	23	26	18	33	23	18
Tery_0912	CP000393.1	1443313	1444083	+	771	265	404	420	243	518	279	254
Tery_0913	CP000393.1	1446531	1447538	-	1008	300	363	454	139	272	270	284
Tery_0914	CP000393.1	1447844	1448134	+	291	1286	3147	2363	1942	3478	4273	1318
Tery_0915	CP000393.1	1448619	1448921	+	303	376	1003	962	573	946	2124	681
Tery_0916	CP000393.1	1449238	1449534	+	297	1578	4086	3902	1809	5207	3881	2621
Tery_0918	CP000393.1	1450074	1451684	-	1611	169	277	249	127	202	324	165
Tery_0919	CP000393.1	1453015	1453713	+	699	405	674	649	316	606	450	376
Tery_0920	CP000393.1	1454098	1454445	+	348	799	1335	1150	637	1145	999	631
Tery_0921	CP000393.1	1455460	1456596	-	1137	613	1265	1197	505	1221	685	676
Tery_0922	CP000393.1	1456763	1457209	+	447	362	485	477	215	482	260	251
Tery_0923	CP000393.1	1457516	1457776	-	261	78	155	163	92	183	85	111
Tery_0925	CP000393.1	1458463	1458756	+	294	184	327	247	156	281	161	152
Tery_0927	CP000393.1	1460342	1460470	-	129	5	13	9	5	12	6	12
Tery_0929	CP000393.1	1461792	1464824	-	3033	1454	2618	2065	1211	2301	2011	1485
Tery_0930	CP000393.1	1466317	1466853	-	537	1435	2445	2199	1398	2797	1768	1248
Tery_0931	CP000393.1	1467224	1468048	+	825	617	755	826	446	970	524	622
Tery_0932	CP000393.1	1468297	1468482	-	186	12	24	27	15	23	7	19
Tery_0934	CP000393.1	1469683	1470186	-	504	0	0	0	0	0	0	0
Tery_0935	CP000393.1	1470233	1470976	-	744	19	25	22	10	24	14	12
Tery_0936	CP000393.1	1470979	1471278	-	300	5	1	4	1	2	2	1
Tery_0937	CP000393.1	1471755	1473455	-	1701	144	157	162	91	166	120	94
Tery_0938	CP000393.1	1474632	1477691	-	3060	410	595	494	283	504	470	273
Tery_0940	CP000393.1	1481418	1481837	+	420	0	0	0	0	0	0	0
Tery_0941	CP000393.1	1481922	1482455	+	534	0	13	4	8	14	8	7
Tery_0942	CP000393.1	1482519	1483148	+	630	151	295	226	130	282	176	147
Tery_0943	CP000393.1	1483210	1487364	+	4155	417	731	535	495	739	781	400
Tery_0944	CP000393.1	1488276	1489448	-	1173	187	275	299	135	237	234	192
Tery_0945	CP000393.1	1491215	1491544	-	330	2239	5284	4593	1877	3997	3538	3396
Tery_0948	CP000393.1	1494752	1495789	+	1038	5254	12053	9509	3714	5188	16945	6473
Tery_0949	CP000393.1	1496538	1497833	+	1296	1088	2838	1977	802	1538	2613	1293
Tery_0950	CP000393.1	1498060	1499565	+	1506	199	388	353	104	278	314	189
Tery_0952	CP000393.1	1501447	1501731	+	285	28	52	49	25	38	34	22
Tery_0953	CP000393.1	1502663	1503307	-	645	480	882	733	528	989	641	483
Tery_0954	CP000393.1	1503514	1504245	-	732	1050	1668	1226	1228	1734	2095	1063
Tery_0956	CP000393.1	1505693	1507246	+	1554	77	134	104	74	165	136	73
Tery_0957	CP000393.1	1509381	1510454	-	1074	315	404	321	342	431	483	216
Tery_0958	CP000393.1	1511514	1513337	+	1824	164	274	184	164	271	264	114
Tery_0961	CP000393.1	1514703	1515035	-	333	1	4	4	2	1	0	2
Tery_0964	CP000393.1	1518214	1518468	-	255	1	6	5	0	7	5	1
Tery_0966	CP000393.1	1519889	1521130	+	1242	140	217	182	174	266	209	112
Tery_0968	CP000393.1	1522901	1523875	+	975	1064	1885	1754	1184	2661	1584	1063
Tery_0969	CP000393.1	1525249	1525980	+	732	756	1465	1219	615	1364	1307	837
Tery_0970	CP000393.1	1527065	1528504	+	1440	214	329	286	158	278	368	162
Tery_0972	CP000393.1	1531676	1533391	+	1716	383	492	392	141	223	304	138
Tery_0974	CP000393.1	1534516	1535817	-	1302	47	83	45	33	85	70	41
Tery_0975	CP000393.1	1536955	1538265	+	1311	15	20	17	9	8	22	20
Tery_0976	CP000393.1	1538888	1539967	+	1080	18	31	24	25	42	34	28
Tery_0977	CP000393.1	1540186	1543833	+	3648	121	177	151	123	152	142	83
Tery_0978	CP000393.1	1543881	1544885	-	1005	248	361	276	135	248	332	215
Tery_0979	CP000393.1	1545005	1545634	-	630	285	461	350	302	414	589	242
Tery_0980	CP000393.1	1545701	1546360	-	660	216	480	462	193	415	450	275
Tery_0982	CP000393.1	1547067	1547372	-	306	425	1027	820	315	991	774	584
Tery_0983	CP000393.1	1547518	1548006	-	489	33932	86216	60076	21045	52921	69574	34293
Tery_0984	CP000393.1	1548092	1548631	-	540	11481	29501	23918	8768	13588	39907	14659
Tery_0985	CP000393.1	1549118	1549912	+	795	4233	11079	7602	3370	4714	12131	5095
Tery_0986	CP000393.1	1551310	1552242	+	933	556	840	734	320	517	838	465
Tery_0987	CP000393.1	1552440	1553297	-	858	253	451	350	179	424	338	254
Tery_0988	CP000393.1	1553319	1553792	-	474	110	233	198	73	167	160	169
Tery_0989	CP000393.1	1554577	1554864	+	288	2	5	1	2	6	2	1
Tery_0990	CP000393.1	1555350	1556627	+	1278	846	2032	1260	526	839	1624	923
Tery_0991	CP000393.1	1557475	1557855	-	381	96	176	115	65	146	92	102
Tery_0993	CP000393.1	1558743	1559246	-	504	2	3	3	2	2	2	1
Tery_0995	CP000393.1	1559925	1560536	-	612	565	1538	1063	417	930	856	658
Tery_0996	CP000393.1	1561195	1561689	-	495	26347	55911	59768	20037	33179	62765	42884
Tery_0997	CP000393.1	1561761	1562300	-	540	5974	19828	19727	4410	13053	13625	10732
Tery_0998	CP000393.1	1562383	1562916	-	534	19606	54523	56850	11296	20577	52653	27330
Tery_0999	CP000393.1	1563071	1563907	+	837	2978	9026	7772	2311	4381	8618	4570
Tery_1000	CP000393.1	1564055	1565539	-	1485	437	676	607	387	606	502	358
Tery_1001	CP000393.1	1565800	1566267	+	468	280	558	431	110	262	289	244
Tery_1002	CP000393.1	1566751	1567509	-	759	327	634	540	193	413	406	247
Tery_1003	CP000393.1	1567748	1568413	+	666	301	689	556	229	443	532	343
Tery_1004	CP000393.1	1568627	1569361	+	735	194	424	311	174	370	449	194
Tery_1005	CP000393.1	1569547	1570164	+	618	411	1071	771	328	788	677	539
Tery_1006	CP000393.1	1571054	1571557	+	504	0	1	1	4	1	1	0
Tery_1008	CP000393.1	1573710	1574747	+	1038	0	10	3	3	7	5	4
Tery_1009	CP000393.1	1574817	1575638	+	822	519	839	793	485	726	935	505
Tery_1010	CP000393.1	1575770	1576003	-	234	284	525	490	209	409	676	302
Tery_1011	CP000393.1	1576068	1577666	-	1599	829	1536	1236	665	1139	1465	794
Tery_1012	CP000393.1	1579082	1580158	+	1077	369	510	458	404	638	541	364
Tery_1013	CP000393.1	1580492	1581229	+	738	490	920	578	535	857	805	421
Tery_1014	CP000393.1	1581744	1581953	+	210	1446	3926	3301	929	2282	3212	1665
Tery_1015	CP000393.1	1583042	1583944	+	903	712	1179	1046	606	1100	670	678
Tery_1016	CP000393.1	1584567	1584785	+	219	456	951	720	351	954	727	631
Tery_1018	CP000393.1	1585964	1586881	+	918	380	580	541	224	394	453	409
Tery_1019	CP000393.1	1587407	1591402	-	3996	431	566	567	379	448	648	313
Tery_1020	CP000393.1	1591706	1593103	-	1398	156	178	173	71	154	126	117
Tery_1021	CP000393.1	1594183	1594482	-	300	226	420	304	141	342	344	214
Tery_1022	CP000393.1	1594657	1595790	+	1134	934	1389	1316	811	1309	1150	764
Tery_1023	CP000393.1	1596127	1597305	+	1179	938	1613	1657	759	1538	1347	895
Tery_1024	CP000393.1	1598452	1599138	-	687	14	38	24	13	40	20	7
Tery_1026	CP000393.1	1601167	1601847	+	681	583	994	765	487	794	1016	530
Tery_1027	CP000393.1	1602686	1603732	+	1047	1209	1933	1417	986	1813	1435	918
Tery_1028	CP000393.1	1604273	1604758	-	486	155	242	239	108	255	147	188
Tery_1029	CP000393.1	1604765	1605049	-	285	43	82	67	48	78	76	30
Tery_1030	CP000393.1	1605057	1606238	-	1182	61	83	59	43	86	55	38
Tery_1034	CP000393.1	1615167	1615469	+	303	6	15	18	8	15	8	9
Tery_1035	CP000393.1	1615715	1616581	+	867	18	15	11	8	11	18	16
Tery_1036	CP000393.1	1619340	1621193	-	1854	196	403	313	227	358	323	229
Tery_1037	CP000393.1	1624555	1625238	+	684	1048	1531	1527	782	1773	1020	831
Tery_1038	CP000393.1	1625440	1627242	+	1803	919	1272	1093	543	917	1052	593
Tery_1039	CP000393.1	1627718	1628632	+	915	245	304	363	187	332	173	194
Tery_1040	CP000393.1	1629979	1630473	+	495	813	1282	1226	472	1106	906	857
Tery_1041	CP000393.1	1631177	1631728	-	552	811	1631	1449	514	1272	1151	884
Tery_1042	CP000393.1	1632117	1632995	+	879	223	329	311	162	268	193	157
Tery_1043	CP000393.1	1633212	1634891	+	1680	257	345	285	228	373	303	161
Tery_1044	CP000393.1	1635210	1635488	+	279	17	39	23	25	41	36	23
Tery_1045	CP000393.1	1635756	1636112	+	357	71	90	94	79	156	84	118
Tery_1046	CP000393.1	1636298	1636651	-	354	14892	19343	18674	32325	54259	23717	12949
Tery_1047	CP000393.1	1636808	1638328	-	1521	18665	27287	22594	18944	38559	15835	13497
Tery_1048	CP000393.1	1638481	1638831	-	351	6148	8910	9045	6223	14272	5567	5961
Tery_1050	CP000393.1	1643890	1644078	-	189	58	100	111	44	93	56	53
Tery_1051	CP000393.1	1644600	1645232	-	633	14	17	15	15	17	13	7
Tery_1052	CP000393.1	1645329	1645484	-	156	0	6	5	6	12	5	2
Tery_1053	CP000393.1	1647640	1648356	-	717	47	94	62	36	88	84	62
Tery_1054	CP000393.1	1648441	1649709	+	1269	680	1555	1537	722	1327	1613	962
Tery_1055	CP000393.1	1650953	1651159	+	207	0	0	2	1	0	1	0
Tery_1056	CP000393.1	1651512	1651712	+	201	0	3	1	1	1	0	0
Tery_1057	CP000393.1	1652249	1653973	+	1725	622	1147	951	648	978	1352	656
Tery_1058	CP000393.1	1654059	1655711	-	1653	199	396	358	248	472	342	223
Tery_1059	CP000393.1	1655922	1656212	+	291	14	27	17	20	19	10	14
Tery_1062	CP000393.1	1661572	1662207	-	636	111	236	159	98	220	126	101
Tery_1063	CP000393.1	1662563	1662811	-	249	35	100	67	35	72	117	31
Tery_1064	CP000393.1	1663280	1664551	+	1272	77	131	86	61	138	103	50
Tery_1065	CP000393.1	1665756	1666877	-	1122	120	237	193	102	190	240	119
Tery_1066	CP000393.1	1667703	1670750	+	3048	300	475	366	178	372	436	212
Tery_1067	CP000393.1	1671148	1671966	-	819	77	211	163	71	143	277	96
Tery_1068	CP000393.1	1672964	1674496	+	1533	152	244	236	330	461	576	145
Tery_1069	CP000393.1	1674906	1676414	+	1509	120	267	272	262	441	542	182
Tery_1070	CP000393.1	1676566	1678770	+	2205	114	185	225	183	288	300	107
Tery_1071	CP000393.1	1680863	1681228	-	366	67	95	89	34	83	70	44
Tery_1072	CP000393.1	1681221	1681559	-	339	36	71	55	20	47	59	34
Tery_1073	CP000393.1	1683870	1687463	-	3594	1498	2021	1693	1641	1666	3069	1122
Tery_1074	CP000393.1	1688760	1690061	+	1302	31	49	34	25	47	54	31
Tery_1075	CP000393.1	1690505	1691377	+	873	132	214	168	114	168	160	88
Tery_1076	CP000393.1	1692630	1693406	-	777	289	417	388	184	288	553	259
Tery_1077	CP000393.1	1694036	1695550	-	1515	100	183	202	108	214	238	134
Tery_1078	CP000393.1	1695936	1696739	-	804	350	813	770	334	624	1047	467
Tery_1079	CP000393.1	1696856	1697746	+	891	678	1387	1025	669	1020	1450	654
Tery_1080	CP000393.1	1698259	1698630	+	372	228	459	378	257	314	491	286
Tery_1081	CP000393.1	1699322	1699552	-	231	1	0	1	1	2	2	2
Tery_1082	CP000393.1	1700241	1700489	+	249	0	0	0	0	0	0	0
Tery_1084	CP000393.1	1701534	1703168	+	1635	370	1020	803	412	554	1281	520
Tery_1085	CP000393.1	1703788	1704072	-	285	1	0	1	0	2	1	0
Tery_1088	CP000393.1	1705664	1705909	+	246	0	0	0	1	1	1	0
Tery_1089	CP000393.1	1705964	1706263	+	300	0	3	0	0	0	1	0
Tery_1090	CP000393.1	1707587	1709560	-	1974	195	291	272	162	160	365	143
Tery_1091	CP000393.1	1709719	1711734	-	2016	290	657	552	210	349	726	383
Tery_1092	CP000393.1	1712154	1715477	-	3324	301	431	452	154	278	295	264
Tery_1093	CP000393.1	1715631	1719581	-	3951	516	841	688	246	322	664	390
Tery_1095	CP000393.1	1721596	1723065	+	1470	301	470	399	359	383	627	315
Tery_1096	CP000393.1	1723362	1724966	+	1605	182	418	327	142	336	218	211
Tery_1097	CP000393.1	1725763	1726743	+	981	32	63	39	30	47	66	37
Tery_1098	CP000393.1	1726892	1727728	-	837	135	233	188	136	206	185	115
Tery_1099	CP000393.1	1728100	1729266	+	1167	96	148	103	130	118	244	74
Tery_1100	CP000393.1	1730081	1730512	-	432	42	79	58	41	80	48	44
Tery_1101	CP000393.1	1730625	1730951	+	327	148	243	256	126	279	163	177
Tery_1102	CP000393.1	1731395	1735918	-	4524	221	221	191	212	128	342	135
Tery_1103	CP000393.1	1736814	1737599	-	786	43	73	55	32	45	87	66
Tery_1104	CP000393.1	1738000	1738806	-	807	355	441	355	184	201	563	297
Tery_1105	CP000393.1	1739339	1740091	-	753	7	12	18	6	9	13	8
Tery_1106	CP000393.1	1740339	1741796	-	1458	55	64	74	34	70	71	39
Tery_1108	CP000393.1	1743770	1744945	-	1176	653	1387	1127	581	934	1568	888
Tery_1109	CP000393.1	1745214	1745681	-	468	81	153	151	67	136	93	76
Tery_1110	CP000393.1	1747476	1748141	+	666	53	118	91	28	72	118	63
Tery_1112	CP000393.1	1749582	1749935	+	354	52	61	86	23	66	44	42
Tery_1113	CP000393.1	1751417	1752841	+	1425	116	230	165	111	160	244	110
Tery_1114	CP000393.1	1753871	1756033	-	2163	339	493	362	355	428	761	288
Tery_1116	CP000393.1	1758177	1758362	-	186	5	14	15	5	9	18	10
Tery_1117	CP000393.1	1758520	1759998	+	1479	392	490	372	364	484	533	235
Tery_1118	CP000393.1	1760505	1761014	-	510	176	304	228	194	324	306	136
Tery_1119	CP000393.1	1761243	1762259	-	1017	0	0	0	0	0	0	0
Tery_1120	CP000393.1	1762285	1763076	-	792	0	0	0	0	0	0	0
Tery_1121	CP000393.1	1763965	1764252	+	288	686	1284	1464	724	1771	749	976
Tery_1122	CP000393.1	1764326	1765177	+	852	153	395	253	184	391	217	198
Tery_1123	CP000393.1	1766406	1766873	-	468	35	58	46	29	63	47	36
Tery_1124	CP000393.1	1768286	1768873	-	588	116	330	215	77	157	283	164
Tery_1125	CP000393.1	1771236	1772108	+	873	17	21	22	20	17	29	13
Tery_1126	CP000393.1	1772579	1773457	-	879	303	541	449	312	512	487	274
Tery_1127	CP000393.1	1774989	1775900	-	912	43	90	56	44	72	78	35
Tery_1128	CP000393.1	1782421	1783974	-	1554	141	246	197	74	155	200	134
Tery_1129	CP000393.1	1784286	1785884	-	1599	97	141	128	75	118	112	73
Tery_1130	CP000393.1	1785909	1786274	-	366	18	23	20	20	24	29	11
Tery_1131	CP000393.1	1786261	1786851	-	591	31	49	38	27	55	27	28
Tery_1132	CP000393.1	1786867	1788537	-	1671	125	180	174	60	154	140	87
Tery_1133	CP000393.1	1789134	1789367	+	234	6	21	11	7	20	8	11
Tery_1134	CP000393.1	1789540	1789920	-	381	85	145	111	68	122	192	77
Tery_1135	CP000393.1	1790156	1791298	-	1143	172	358	272	132	228	258	160
Tery_1136	CP000393.1	1792376	1792858	-	483	10683	19764	21876	8726	17995	19612	13425
Tery_1137	CP000393.1	1792916	1793584	-	669	2995	8870	8285	2669	5244	8775	5080
Tery_1138	CP000393.1	1793933	1795171	+	1239	752	1330	1391	758	1488	1279	959
Tery_1139	CP000393.1	1796113	1796532	-	420	963	1673	1450	811	1512	1246	789
Tery_1140	CP000393.1	1797129	1797368	+	240	90	139	111	54	111	73	73
Tery_1141	CP000393.1	1798046	1798495	-	450	1173	3126	2822	729	2132	2143	1949
Tery_1142	CP000393.1	1798654	1800735	+	2082	504	697	504	363	542	758	305
Tery_1143	CP000393.1	1801211	1802377	-	1167	466	686	574	397	557	582	368
Tery_1144	CP000393.1	1802899	1803066	+	168	41	102	85	48	110	56	56
Tery_1145	CP000393.1	1804103	1804957	-	855	464	858	757	354	733	578	423
Tery_1146	CP000393.1	1805346	1805720	-	375	799	1536	1070	606	1101	1195	578
Tery_1147	CP000393.1	1805868	1806614	-	747	387	812	609	282	663	712	356
Tery_1148	CP000393.1	1806617	1806856	-	240	189	337	285	149	218	344	158
Tery_1149	CP000393.1	1807420	1807779	-	360	521	1009	633	379	749	726	392
Tery_1150	CP000393.1	1808387	1809424	+	1038	459	700	635	415	829	631	406
Tery_1151	CP000393.1	1810140	1810895	+	756	225	400	342	183	382	306	215
Tery_1152	CP000393.1	1811022	1811618	+	597	341	507	346	231	425	458	233
Tery_1153	CP000393.1	1811884	1812762	+	879	1539	1952	1548	1124	1865	1594	1000
Tery_1154	CP000393.1	1812931	1813464	-	534	721	1657	1277	638	1537	904	777
Tery_1155	CP000393.1	1813694	1814017	-	324	666	1453	1024	640	1404	867	620
Tery_1157	CP000393.1	1814647	1814958	-	312	402	620	569	324	632	443	378
Tery_1158	CP000393.1	1815804	1818287	-	2484	607	824	756	367	650	670	371
Tery_1159	CP000393.1	1819038	1820042	-	1005	544	826	700	341	650	770	410
Tery_1160	CP000393.1	1820154	1820813	-	660	1002	1632	1086	879	1169	2317	856
Tery_1161	CP000393.1	1820973	1821791	-	819	2127	3721	2605	1894	2697	4308	2019
Tery_1162	CP000393.1	1822341	1822685	-	345	143	276	190	98	214	177	123
Tery_1163	CP000393.1	1823465	1824130	-	666	432	818	645	367	806	508	405
Tery_1164	CP000393.1	1824405	1824599	-	195	131	232	148	110	204	254	97
Tery_1165	CP000393.1	1824692	1825762	-	1071	539	1011	796	533	930	1037	561
Tery_1166	CP000393.1	1826159	1827190	+	1032	1753	3477	3020	1461	2788	3532	2250
Tery_1167	CP000393.1	1827259	1827642	+	384	1873	3920	2956	1450	2937	2713	1681
Tery_1168	CP000393.1	1828262	1828981	+	720	1627	3149	2405	1150	2392	2555	1529
Tery_1169	CP000393.1	1829938	1830477	-	540	688	1010	844	536	783	809	500
Tery_1170	CP000393.1	1830936	1831820	-	885	621	1133	1117	558	1096	821	850
Tery_1172	CP000393.1	1833562	1833774	-	213	62	94	99	31	74	68	36
Tery_1173	CP000393.1	1833837	1834673	+	837	216	452	483	198	372	359	351
Tery_1175	CP000393.1	1837408	1838166	+	759	113	214	159	107	172	139	102
Tery_1176	CP000393.1	1838475	1839092	+	618	43	92	67	48	85	69	52
Tery_1177	CP000393.1	1840227	1840373	-	147	1	1	6	1	3	5	0
Tery_1179	CP000393.1	1844523	1847486	+	2964	2056	3971	3205	2178	2310	6290	2176
Tery_1180	CP000393.1	1849484	1850875	-	1392	71	114	100	75	103	156	64
Tery_1181	CP000393.1	1851088	1852776	-	1689	15	34	8	21	25	25	11
Tery_1182	CP000393.1	1852807	1853136	-	330	3	5	3	2	4	7	9
Tery_1183	CP000393.1	1853302	1854318	-	1017	10	10	11	8	11	15	7
Tery_1184	CP000393.1	1854403	1855686	-	1284	32	70	57	20	55	48	32
Tery_1185	CP000393.1	1855867	1857660	-	1794	22	38	33	29	34	30	15
Tery_1186	CP000393.1	1857687	1858649	-	963	4	4	5	2	7	4	2
Tery_1187	CP000393.1	1858962	1860110	-	1149	21	36	30	23	51	24	26
Tery_1188	CP000393.1	1860117	1862237	-	2121	571	1000	1059	426	859	649	661
Tery_1189	CP000393.1	1862476	1863948	-	1473	154	197	190	132	192	224	129
Tery_1190	CP000393.1	1863951	1864163	-	213	105	123	106	118	194	90	105
Tery_1191	CP000393.1	1864279	1864839	-	561	4	14	13	11	13	11	8
Tery_1193	CP000393.1	1866982	1867335	-	354	2412	5475	4394	2557	6224	4490	2574
Tery_1194	CP000393.1	1867440	1868705	-	1266	2375	4015	4018	2517	5887	2359	2557
Tery_1195	CP000393.1	1869679	1870758	+	1080	387	787	573	368	648	789	411
Tery_1196	CP000393.1	1871194	1871847	+	654	19	50	30	24	48	37	27
Tery_1197	CP000393.1	1872823	1873305	+	483	0	1	1	0	1	0	0
Tery_1198	CP000393.1	1873525	1873719	+	195	0	0	0	0	0	0	0
Tery_1199	CP000393.1	1874599	1874733	-	135	0	2	0	0	0	0	0
Tery_1200	CP000393.1	1875146	1875325	-	180	0	0	0	0	0	0	0
Tery_1201	CP000393.1	1875929	1876612	+	684	14	29	28	13	21	23	16
Tery_1202	CP000393.1	1876834	1877520	-	687	2	2	1	2	2	1	1
Tery_1204	CP000393.1	1878803	1879288	+	486	3561	9637	8344	1322	2926	4691	4042
Tery_1205	CP000393.1	1879465	1879581	+	117	794	2677	1603	463	1076	2154	902
Tery_1206	CP000393.1	1880411	1881139	+	729	669	1187	879	358	619	909	507
Tery_1207	CP000393.1	1881454	1881882	-	429	14	21	30	6	21	14	14
Tery_1208	CP000393.1	1881938	1882150	-	213	25	62	44	40	60	39	32
Tery_1209	CP000393.1	1883036	1883473	+	438	12	26	24	2	22	14	17
Tery_1210	CP000393.1	1884106	1884465	-	360	0	0	2	0	0	0	0
Tery_1212	CP000393.1	1885361	1885747	+	387	0	0	0	1	1	0	0
Tery_1213	CP000393.1	1885873	1886535	+	663	1	1	0	4	0	1	1
Tery_1214	CP000393.1	1886638	1888128	-	1491	496	710	623	395	789	548	457
Tery_1215	CP000393.1	1889069	1889311	+	243	5	8	10	9	7	9	7
Tery_1216	CP000393.1	1892035	1892247	-	213	10	27	19	13	20	13	12
Tery_1218	CP000393.1	1893487	1893612	-	126	0	2	2	0	1	1	0
Tery_1219	CP000393.1	1893730	1893888	-	159	3	2	2	1	0	2	1
Tery_1221	CP000393.1	1895249	1895383	-	135	0	1	3	2	5	3	0
Tery_1222	CP000393.1	1895796	1895975	-	180	0	0	0	0	0	0	0
Tery_1224	CP000393.1	1898433	1899119	+	687	9	9	10	3	19	4	2
Tery_1226	CP000393.1	1899852	1900091	+	240	177	239	188	137	237	187	153
Tery_R0008	CP000393.1	1900405	1900476	-	72	3860	2668	6230	4891	6020	3095	9138
Tery_1227	CP000393.1	1900636	1901181	-	546	1273	2302	1951	1030	2272	1669	1133
Tery_1228	CP000393.1	1901362	1902057	-	696	966	1925	1812	641	1784	1117	1255
Tery_1229	CP000393.1	1902054	1902320	-	267	1217	1699	1685	925	1675	1314	933
Tery_1230	CP000393.1	1904238	1905296	+	1059	19883	42215	38271	23425	47772	37106	23642
Tery_1232	CP000393.1	1907660	1907941	+	282	2777	5135	3943	2840	5997	3551	2589
Tery_1233	CP000393.1	1908790	1910424	+	1635	770	1141	1136	514	1144	654	559
Tery_1234	CP000393.1	1911568	1913487	+	1920	5304	12816	10887	6451	11089	16362	7893
Tery_1235	CP000393.1	1914921	1915883	+	963	500	799	748	431	623	842	428
Tery_1236	CP000393.1	1916945	1917445	-	501	214	250	275	166	288	171	172
Tery_1237	CP000393.1	1917668	1919488	-	1821	71	102	96	68	147	84	65
Tery_1238	CP000393.1	1919537	1919836	-	300	7	30	24	7	16	16	13
Tery_1239	CP000393.1	1919854	1921656	-	1803	81	133	123	66	126	138	72
Tery_1240	CP000393.1	1922203	1922877	+	675	123	284	217	110	233	270	138
Tery_1243	CP000393.1	1925413	1926099	+	687	19	59	27	19	47	28	12
Tery_1244	CP000393.1	1926211	1927449	-	1239	409	781	560	315	562	707	366
Tery_1246	CP000393.1	1930019	1930708	+	690	949	2353	2056	813	1461	2494	1280
Tery_1247	CP000393.1	1930923	1931513	+	591	1595	3167	2718	1287	2113	3165	1977
Tery_1250	CP000393.1	1934396	1935022	+	627	195	403	345	203	375	351	208
Tery_1251	CP000393.1	1935767	1937014	+	1248	640	1077	970	446	854	1165	665
Tery_1252	CP000393.1	1938100	1939044	+	945	328	626	461	269	605	542	336
Tery_1255	CP000393.1	1941237	1941443	+	207	6	3	2	4	4	6	1
Tery_1256	CP000393.1	1942378	1942674	-	297	13	24	17	19	34	25	16
Tery_1258	CP000393.1	1944502	1944867	-	366	316	547	326	283	455	651	222
Tery_1259	CP000393.1	1944894	1945985	-	1092	312	813	489	311	535	1079	394
Tery_1263	CP000393.1	1949797	1950114	-	318	6	5	9	7	6	8	4
Tery_1264	CP000393.1	1950101	1950238	-	138	0	0	0	0	0	0	0
Tery_1265	CP000393.1	1950795	1951283	-	489	1	1	2	2	2	3	1
Tery_1266	CP000393.1	1951649	1951768	+	120	1	1	2	2	1	1	0
Tery_1267	CP000393.1	1951947	1952114	+	168	5	1	2	0	6	1	3
Tery_1271	CP000393.1	1954986	1955288	+	303	7	16	14	1	18	17	6
Tery_1272	CP000393.1	1955383	1955784	+	402	15	25	13	13	31	20	13
Tery_1274	CP000393.1	1956658	1956891	+	234	21	15	22	10	18	17	11
Tery_1275	CP000393.1	1957008	1957391	+	384	12	19	17	14	26	12	10
Tery_1276	CP000393.1	1958159	1959787	+	1629	535	1011	768	513	1012	648	540
Tery_1278	CP000393.1	1960720	1960962	-	243	34	114	66	35	98	67	55
Tery_1279	CP000393.1	1962194	1962499	-	306	5	3	5	2	5	5	1
Tery_1280	CP000393.1	1962554	1962799	-	246	2	2	1	2	4	0	0
Tery_1282	CP000393.1	1963528	1963887	+	360	0	4	2	0	6	2	3
